experiment,stage,sparsity,accuracy,inference_time,model_size,non_zero_params,total_params
OneShot_L1_50,One-Shot Result,50.0,93.23,6.78135871887207,8.533096313476562,2236682,2236682
OneShot_L1_90,One-Shot Result,90.0,51.22,6.849789619445801,8.312318801879883,2236682,2236682
OneShot_Random_90,One-Shot Result,90.0,11.58,6.835756301879883,8.340447425842285,2236682,2236682
Iterative_L1_90,Step 1,22.573615373374253,94.25,6.969857215881348,8.44728946685791,2236682,2236682
Iterative_L1_90,Step 2,40.05155816162502,94.17,10.057053565979004,8.521430969238281,2236682,2236682
Iterative_L1_90,Step 3,53.58409140727751,93.4,7.001800537109375,8.533215522766113,2236682,2236682
Iterative_L1_90,Step 4,64.061860660529,92.77,7.564144134521484,8.515473365783691,2236682,2236682
Iterative_L1_90,Step 5,72.17439354084466,91.16,7.209048271179199,8.475077629089355,2236682,2236682
Iterative_L1_90,Step 6,78.45562984071314,89.68,7.631468772888184,8.434581756591797,2236682,2236682
Iterative_L1_90,Step 7,83.31899386234107,87.4,7.009892463684082,8.394301414489746,2236682,2236682
Iterative_L1_90,Step 8,87.08452067806518,85.4,7.053542137145996,8.352896690368652,2236682,2236682
Iterative_L1_90,Step 9,90.0,82.82,7.031965255737305,8.308636665344238,2236682,2236682
Iterative_Structured_90,Step 1,36.89276450387257,67.63,6.810040473937988,8.110238075256348,2236682,2236682
Iterative_Structured_90,Step 2,60.22116578985825,26.96,6.669864654541016,8.076016426086426,2236682,2236682
Iterative_Structured_90,Step 3,74.93428503580301,10.0,6.694216728210449,8.047198295593262,2236682,2236682
Iterative_Structured_90,Step 4,84.25215548735935,10.0,8.613767623901367,8.025764465332031,2236682,2236682
Iterative_Structured_90,Step 5,90.07859308782697,10.0,6.927070617675781,8.010368347167969,2236682,2236682
